,step,type,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
6266412,617,CASH_OUT,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0
6281487,647,CASH_OUT,61846.05,61846.05,0.0,2094201.81,2156047.86,1,0
6030108,473,TRANSFER,70239.81,70239.81,0.0,0.0,0.0,1,0
6292348,665,TRANSFER,866712.19,866712.19,0.0,0.0,0.0,1,0
1030548,71,CASH_OUT,345526.4,345526.4,0.0,210291.99,555818.38,1,0
6008698,438,TRANSFER,455014.69,455014.69,0.0,0.0,0.0,1,0
6010949,447,TRANSFER,834592.4,834592.4,0.0,0.0,0.0,1,0
576365,32,CASH_OUT,2023920.09,2023920.09,0.0,1530400.88,3554320.97,1,0
1030645,81,TRANSFER,82527.13,82527.13,0.0,0.0,0.0,1,0
5355334,375,TRANSFER,821138.21,821138.21,0.0,0.0,0.0,1,0
1152802,131,TRANSFER,124057.58,124057.58,0.0,0.0,0.0,1,0
819544,40,CASH_OUT,212613.29,212613.29,0.0,1370788.41,1583401.69,1,0
6189312,570,CASH_OUT,3712.11,3712.11,0.0,185441.34,189153.45,1,0
6281811,652,TRANSFER,80397.86,80397.86,0.0,0.0,0.0,1,0
6127439,541,TRANSFER,3297243.38,3297243.38,0.0,0.0,0.0,1,0
855228,41,CASH_OUT,1270564.34,1270564.34,0.0,0.0,1270564.34,1,0
4785624,339,TRANSFER,343177.04,343177.04,0.0,0.0,0.0,1,0
6201885,580,CASH_OUT,2925111.67,2925111.67,0.0,0.0,2925111.67,1,0
6044578,491,TRANSFER,1381513.27,1381513.27,0.0,0.0,0.0,1,0
4585666,328,CASH_OUT,2299330.46,2299330.46,0.0,1403092.21,3736457.5,1,0
6273164,633,TRANSFER,4128853.75,4128853.75,0.0,0.0,0.0,1,0
6362339,720,CASH_OUT,79039.81,79039.81,0.0,11270532.7,11349572.51,1,0
3199995,249,TRANSFER,90915.0,90915.0,0.0,0.0,0.0,1,0
3600454,263,TRANSFER,273408.94,273408.94,0.0,0.0,0.0,1,0
6188786,570,TRANSFER,2925859.58,2925859.58,0.0,0.0,0.0,1,0
2065131,181,CASH_OUT,955505.54,955505.54,0.0,466930.46,1422436.0,1,0
1864133,164,CASH_OUT,329728.11,329728.11,0.0,0.0,329728.11,1,0
3657135,275,CASH_OUT,513082.74,513082.74,0.0,32452.79,545535.53,1,0
1800735,162,TRANSFER,8327328.27,8327328.27,0.0,0.0,0.0,1,0
6027401,470,CASH_OUT,864994.24,864994.24,0.0,266074.0,1028020.38,1,0
481250,19,TRANSFER,10000000.0,11861008.32,1861008.32,0.0,0.0,1,0
6055662,497,CASH_OUT,1416055.74,1416055.74,0.0,4392650.62,5808706.35,1,0
6290017,661,CASH_OUT,626195.24,626195.24,0.0,342735.9,968931.14,1,0
5253581,371,CASH_OUT,205163.3,205163.3,0.0,0.0,205163.3,1,0
6045013,492,CASH_OUT,2985840.4,2985840.4,0.0,386985.85,3372826.25,1,0
6353931,708,CASH_OUT,1494146.93,1494146.93,0.0,0.0,1494146.93,1,0
6001557,427,CASH_OUT,4892226.25,4892226.25,0.0,54435.33,4946661.58,1,0
1070172,128,TRANSFER,3062506.58,3062506.58,0.0,0.0,0.0,1,0
5550828,383,CASH_OUT,4104942.7,4104942.7,0.0,131668.24,4236610.94,1,0
6118807,535,TRANSFER,588173.24,588173.24,0.0,0.0,0.0,1,0
6359400,715,CASH_OUT,621080.67,621080.67,0.0,0.0,621080.67,1,0
1505981,143,CASH_OUT,32076.17,32076.17,0.0,905007.28,937083.46,1,0
5911184,404,CASH_OUT,186375.38,186375.38,0.0,427950.92,614326.3,1,0
3605544,264,TRANSFER,7304.56,7304.56,0.0,0.0,0.0,1,0
1030319,56,TRANSFER,82767.31,82767.31,0.0,0.0,0.0,1,0
576371,32,CASH_OUT,401575.19,401575.19,0.0,0.0,401575.19,1,0
6227091,591,TRANSFER,221107.56,221107.56,0.0,0.0,0.0,1,0
1932213,174,TRANSFER,31045.76,31045.76,0.0,0.0,0.0,1,0
1030323,56,TRANSFER,4243468.19,4243468.19,0.0,0.0,0.0,1,0
4962035,351,TRANSFER,4129482.96,4129482.96,0.0,0.0,0.0,1,0
6362493,732,CASH_OUT,417129.11,417129.11,0.0,683101.34,1100230.45,1,0
6030086,472,TRANSFER,63440.63,63440.63,0.0,0.0,0.0,1,0
1030527,70,TRANSFER,167067.78,167067.78,0.0,0.0,0.0,1,0
6272964,627,TRANSFER,2756011.78,2756011.78,0.0,0.0,0.0,1,0
3143902,236,CASH_OUT,75708.87,75708.87,0.0,4816.38,80525.25,1,0
3960316,295,TRANSFER,172344.3,172344.3,0.0,0.0,0.0,1,0
6154177,547,CASH_OUT,400276.72,400276.72,0.0,244756.45,645033.17,1,0
6188083,570,CASH_OUT,1021194.38,1021194.38,0.0,0.0,1021194.38,1,0
4388776,320,TRANSFER,171200.54,171200.54,0.0,0.0,0.0,1,0
3692709,277,TRANSFER,342988.79,342988.79,0.0,0.0,0.0,1,0
2801143,224,TRANSFER,107351.33,107351.33,0.0,0.0,0.0,1,0
6292987,667,TRANSFER,71554.74,71554.74,0.0,0.0,0.0,1,0
1932220,174,CASH_OUT,1536245.52,1536245.52,0.0,682568.09,2218813.6,1,0
5868617,403,CASH_OUT,6392.08,6392.08,0.0,0.0,6392.08,1,0
146628,12,CASH_OUT,19472.0,19472.0,0.0,0.0,19472.0,1,0
3192184,241,CASH_OUT,325470.07,325470.07,0.0,19771.15,345241.22,1,0
6292251,664,TRANSFER,64181.21,64181.21,0.0,0.0,0.0,1,0
3574667,261,TRANSFER,2241630.36,2241630.36,0.0,0.0,0.0,1,0
6276614,639,TRANSFER,349627.64,349627.64,0.0,0.0,0.0,1,0
1511345,149,CASH_OUT,2860852.43,2860852.43,0.0,83784.78,2944637.21,1,0
474967,19,CASH_OUT,3477438.49,3477438.49,0.0,0.0,3477438.49,1,0
6008477,436,CASH_OUT,842554.02,842554.02,0.0,510821.19,1353375.21,1,0
6039468,482,CASH_OUT,1451083.08,1451083.08,0.0,0.0,1451083.08,1,0
4586528,328,TRANSFER,342120.59,342120.59,0.0,0.0,0.0,1,0
6064993,507,CASH_OUT,7239986.95,7239986.95,0.0,0.0,7239986.95,1,0
6065313,512,CASH_OUT,718350.64,718350.64,0.0,0.0,718350.64,1,0
6173011,564,TRANSFER,30245.46,30245.46,0.0,0.0,0.0,1,0
6273197,636,CASH_OUT,1455839.54,1455839.54,0.0,149698.53,1605538.07,1,0
6049785,493,CASH_OUT,144452.14,144452.14,0.0,223043.46,367495.6,1,0
6362507,734,CASH_OUT,10000000.0,10000000.0,0.0,2571402.25,12571402.25,1,0
605778,34,TRANSFER,51424.22,51424.22,0.0,0.0,0.0,1,0
5994345,421,CASH_OUT,267564.83,267564.83,0.0,0.0,267564.83,1,0
169998,12,CASH_OUT,149668.66,0.0,0.0,44170.11,193838.76,1,0
4785666,342,TRANSFER,21279.19,21279.19,0.0,0.0,0.0,1,0
6118822,537,CASH_OUT,34238.2,34238.2,0.0,300369.39,334607.59,1,0
3703861,277,CASH_OUT,242678.33,242678.33,0.0,812517.66,1055196.0,1,0
1059635,110,CASH_OUT,743311.65,743311.65,0.0,0.0,743311.65,1,0
6170480,563,TRANSFER,1676936.79,1676936.79,0.0,0.0,0.0,1,0
4889286,349,CASH_OUT,1258706.84,1258706.84,0.0,1054367.91,2313074.75,1,0
6100669,523,CASH_OUT,4623764.68,4623764.68,0.0,0.0,4623764.68,1,0
6296624,674,TRANSFER,6250438.78,6250438.78,0.0,0.0,0.0,1,0
2799729,217,TRANSFER,108783.2,108783.2,0.0,0.0,0.0,1,0
1030483,67,TRANSFER,106460.7,106460.7,0.0,0.0,0.0,1,0
6009596,440,CASH_OUT,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0
6259971,607,CASH_OUT,265680.73,265680.73,0.0,71851.62,337532.35,1,0
3960075,290,TRANSFER,1454356.81,1454356.81,0.0,0.0,0.0,1,0
3960286,292,TRANSFER,38513.19,38513.19,0.0,0.0,0.0,1,0
6259044,600,CASH_OUT,540154.62,540154.62,0.0,533832.92,1073987.54,1,0
6042684,490,CASH_OUT,1106295.77,1106295.77,0.0,20017.88,1126313.65,1,0
5188019,364,CASH_OUT,703135.43,703135.43,0.0,14781.63,717917.06,1,0
3423411,256,CASH_OUT,40231.56,40231.56,0.0,23948.79,64180.35,1,0
6039800,485,TRANSFER,53107.96,53107.96,0.0,0.0,0.0,1,0
6055134,496,TRANSFER,766151.45,766151.45,0.0,0.0,0.0,1,0
6010851,443,TRANSFER,43159.0,43159.0,0.0,0.0,0.0,1,0
6264913,612,TRANSFER,346183.99,346183.99,0.0,0.0,0.0,1,0
6272965,627,CASH_OUT,2756011.78,2756011.78,0.0,148471.56,2904483.35,1,0
4149484,303,CASH_OUT,322585.04,322585.04,0.0,44013.15,366598.2,1,0
1048222,95,CASH_OUT,33676.59,33676.59,0.0,0.0,33676.59,1,0
6362400,726,TRANSFER,765104.94,765104.94,0.0,0.0,0.0,1,0
1030528,70,CASH_OUT,167067.78,167067.78,0.0,169160.19,336227.97,1,0
6006151,429,CASH_OUT,837192.23,837192.23,0.0,0.0,837192.23,1,0
6259964,606,TRANSFER,1026684.46,1026684.46,0.0,0.0,0.0,1,0
4573909,328,TRANSFER,975389.94,975389.94,0.0,0.0,0.0,1,0
3208444,249,TRANSFER,299298.5,299298.5,0.0,0.0,0.0,1,0
6362564,739,TRANSFER,156691.56,156691.56,0.0,0.0,0.0,1,0
36692,9,CASH_OUT,11308.0,11308.0,0.0,0.0,302550.56,1,0
6264972,613,CASH_OUT,2155569.91,2155569.91,0.0,0.0,2155569.91,1,0
5509072,380,CASH_OUT,49076.27,49076.27,0.0,863127.8,912204.07,1,0
1596216,156,CASH_OUT,79031.41,79031.41,0.0,840743.33,919774.75,1,0
3610999,270,TRANSFER,201511.93,201511.93,0.0,0.0,0.0,1,0
2531841,205,CASH_OUT,216179.15,216179.15,0.0,280881.31,497060.46,1,0
1059669,115,CASH_OUT,530377.28,530377.28,0.0,232558.45,762935.73,1,0
1923443,167,CASH_OUT,2598276.05,2598276.05,0.0,5368346.27,7966622.32,1,0
2552298,206,TRANSFER,998110.47,998110.47,0.0,0.0,685216.5,1,0
612090,34,TRANSFER,27951.26,27951.26,0.0,0.0,0.0,1,0
6064043,505,TRANSFER,2251225.38,2251225.38,0.0,0.0,0.0,1,0
6269757,619,TRANSFER,347893.16,347893.16,0.0,0.0,0.0,1,0
5926415,404,CASH_OUT,126061.45,126061.45,0.0,20438677.48,20564738.93,1,0
5272962,372,CASH_OUT,5464727.14,5464727.14,0.0,9012.39,5473739.54,1,0
2780306,214,CASH_OUT,39525.63,39525.63,0.0,61266.78,100792.41,1,0
4388779,320,CASH_OUT,34099.1,34099.1,0.0,0.0,34099.1,1,0
1030286,53,CASH_OUT,1631640.02,1631640.02,0.0,705298.87,2336938.89,1,0
5275608,372,CASH_OUT,81814.51,81814.51,0.0,203160.15,284974.66,1,0
2571514,207,TRANSFER,682063.33,682063.33,0.0,0.0,0.0,1,0
6272961,626,CASH_OUT,32382.31,32382.31,0.0,0.0,32382.31,1,0
610620,34,CASH_OUT,52557.21,52557.21,0.0,0.0,52557.21,1,0
3610985,270,TRANSFER,757422.83,757422.83,0.0,0.0,0.0,1,0
3320846,253,TRANSFER,690510.31,690510.31,0.0,0.0,0.0,1,0
2729564,212,TRANSFER,94261.84,94261.84,0.0,0.0,0.0,1,0
1005088,46,TRANSFER,9977761.05,9977761.05,0.0,0.0,0.0,1,0
6296754,680,TRANSFER,442460.31,442460.31,0.0,0.0,0.0,1,0
6273201,636,CASH_OUT,89657.36,89657.36,0.0,4157080.36,4246737.72,1,0
610271,34,CASH_OUT,428239.03,428239.03,0.0,293130.02,1456009.92,1,0
6291222,663,CASH_OUT,202952.03,202952.03,0.0,2738806.2,2941758.22,1,0
2379118,192,TRANSFER,1489970.0,1489970.0,0.0,0.0,0.0,1,0
3610994,270,CASH_OUT,1998327.96,1998327.96,0.0,400903.94,2399231.91,1,0
5454842,379,CASH_OUT,36942.13,36942.13,0.0,31565.8,68507.93,1,0
271117,15,CASH_OUT,696763.08,696763.08,0.0,366114.58,1347073.81,1,0
5563495,386,TRANSFER,879810.51,879810.51,0.0,0.0,0.0,1,0
2423702,202,CASH_OUT,2263927.04,2263927.04,0.0,0.0,2263927.04,1,0
2983493,231,CASH_OUT,94372.61,0.0,0.0,471783.48,566156.08,1,0
4969964,351,TRANSFER,1552664.33,1552664.33,0.0,0.0,0.0,1,0
3697321,277,TRANSFER,149656.36,149656.36,0.0,0.0,162310.05,1,0
6294025,669,TRANSFER,57658.26,57658.26,0.0,0.0,0.0,1,0
742061,38,CASH_OUT,90204.54,90204.54,0.0,0.0,90204.54,1,0
1069256,121,TRANSFER,1241118.86,1241118.86,0.0,0.0,0.0,1,0
5990458,418,CASH_OUT,34498.05,34498.05,0.0,0.0,34498.05,1,0
6273148,631,TRANSFER,952234.12,952234.12,0.0,0.0,0.0,1,0
1030509,69,TRANSFER,175328.85,175328.85,0.0,0.0,0.0,1,0
3191272,241,CASH_OUT,1061482.24,1061482.24,0.0,122332.23,1183814.46,1,0
6194190,572,TRANSFER,151715.39,151715.39,0.0,0.0,0.0,1,0
4919897,350,CASH_OUT,915672.67,915672.67,0.0,999821.05,1915493.72,1,0
1059235,97,TRANSFER,5624.02,5624.02,0.0,0.0,0.0,1,0
6074020,514,TRANSFER,48340.79,48340.79,0.0,0.0,0.0,1,0
6020344,464,TRANSFER,1219062.64,1219062.64,0.0,0.0,0.0,1,0
6102370,524,TRANSFER,232315.43,232315.43,0.0,0.0,0.0,1,0
6009615,441,TRANSFER,107363.54,107363.54,0.0,0.0,0.0,1,0
1015515,47,CASH_OUT,243028.65,243028.65,0.0,441285.14,684313.79,1,0
4204421,305,TRANSFER,1309602.55,1309602.55,0.0,0.0,0.0,1,0
5328689,374,CASH_OUT,54725.54,54725.54,0.0,0.0,54725.54,1,0
1505980,143,TRANSFER,32076.17,32076.17,0.0,0.0,0.0,1,0
6295110,670,TRANSFER,929106.32,929106.32,0.0,0.0,0.0,1,0
368258,17,TRANSFER,1639676.27,1639676.27,0.0,0.0,0.0,1,0
6362342,720,TRANSFER,561027.94,561027.94,0.0,0.0,0.0,1,0
5987907,410,CASH_OUT,4900487.15,4900487.15,0.0,0.0,4900487.15,1,0
6351198,700,CASH_OUT,113447.92,113447.92,0.0,4125541.75,4238989.66,1,0
1030741,89,TRANSFER,43928.31,43928.31,0.0,0.0,0.0,1,0
6178608,565,CASH_OUT,1167816.02,1167816.02,0.0,71833.68,1239649.71,1,0
1952163,178,CASH_OUT,3354200.39,3354200.39,0.0,0.0,3491865.72,1,0
1234314,134,TRANSFER,100109.03,100109.03,0.0,0.0,0.0,1,0
1030597,75,TRANSFER,755813.12,755813.12,0.0,0.0,0.0,1,0
6362608,742,TRANSFER,258355.42,258355.42,0.0,0.0,0.0,1,0
4981588,352,TRANSFER,75734.99,75734.99,0.0,0.0,0.0,1,0
6362535,736,CASH_OUT,274799.58,274799.58,0.0,0.0,274799.58,1,0
1030500,68,CASH_OUT,281743.12,281743.12,0.0,158099.98,439843.09,1,0
5987963,413,TRANSFER,781.93,781.93,0.0,0.0,0.0,1,0
6227092,591,CASH_OUT,221107.56,221107.56,0.0,52408.47,273516.03,1,0
6008683,437,CASH_OUT,101392.92,101392.92,0.0,614050.05,715442.97,1,0
6347062,694,TRANSFER,8980853.88,8980853.88,0.0,0.0,0.0,1,0
1016743,47,TRANSFER,13172.17,13172.17,0.0,0.0,0.0,1,0
6295602,670,TRANSFER,2113271.99,2113271.99,0.0,0.0,0.0,1,0
6232500,593,TRANSFER,272776.59,272776.59,0.0,0.0,0.0,1,0
6187833,569,CASH_OUT,15093.69,15093.69,0.0,700860.28,715953.97,1,0
5987941,412,CASH_OUT,381977.83,381977.83,0.0,0.0,381977.83,1,0
817011,40,CASH_OUT,7887.75,7887.75,0.0,0.0,7887.75,1,0
6362419,727,CASH_OUT,6377401.2,6377401.2,0.0,0.0,6377401.2,1,0
1030485,68,TRANSFER,915266.65,915266.65,0.0,0.0,0.0,1,0
2434432,203,CASH_OUT,466580.69,466580.69,0.0,775534.24,1242114.93,1,0
6010954,447,CASH_OUT,3339489.46,3339489.46,0.0,369291.01,3708780.47,1,0
6036616,477,CASH_OUT,338293.14,338293.14,0.0,4293922.64,4632215.78,1,0
6065302,511,TRANSFER,2491.85,2491.85,0.0,0.0,0.0,1,0
4379520,311,CASH_OUT,225301.45,225301.45,0.0,358027.9,583329.35,1,0
6296625,674,CASH_OUT,6250438.78,6250438.78,0.0,0.0,6250438.78,1,0
6118808,535,CASH_OUT,588173.24,588173.24,0.0,16152763.21,16740936.45,1,0
6018806,453,CASH_OUT,1028486.59,1028486.59,0.0,1268932.19,2297418.78,1,0
5538565,382,CASH_OUT,1465173.76,1465173.76,0.0,0.0,1465173.76,1,0
102608,10,CASH_OUT,9217.19,9217.19,0.0,0.0,9217.19,1,0
6201884,580,TRANSFER,2925111.67,2925111.67,0.0,0.0,0.0,1,0
6118837,537,TRANSFER,127447.68,127447.68,0.0,0.0,0.0,1,0
6296764,680,TRANSFER,1819405.69,1819405.69,0.0,0.0,0.0,1,0
4388550,314,TRANSFER,2984434.36,2984434.36,0.0,0.0,0.0,1,0
1070044,122,TRANSFER,994676.91,994676.91,0.0,0.0,0.0,1,0
3608722,265,TRANSFER,158214.43,158214.43,0.0,0.0,0.0,1,0
6010468,442,TRANSFER,2758096.0,2758096.0,0.0,0.0,0.0,1,0
6362469,730,CASH_OUT,185488.23,185488.23,0.0,0.0,185488.23,1,0
6079608,520,TRANSFER,3283695.97,3283695.97,0.0,0.0,0.0,1,0
5987982,413,TRANSFER,115085.31,115085.31,0.0,0.0,0.0,1,0
5995095,422,TRANSFER,2897907.81,2897907.81,0.0,0.0,0.0,1,0
576320,27,CASH_OUT,329937.88,329937.88,0.0,349407.23,679345.1,1,0
2993153,232,TRANSFER,33302.96,33302.96,0.0,0.0,0.0,1,0
6027396,470,TRANSFER,2198220.97,2198220.97,0.0,0.0,0.0,1,0
3508941,259,CASH_OUT,507521.42,507521.42,0.0,0.0,507521.42,1,0
1936035,177,CASH_OUT,1201681.76,1201681.76,0.0,1069475.01,2271156.77,1,0
5724273,398,TRANSFER,10000000.0,15618179.9,5618179.9,0.0,0.0,1,0
576325,27,CASH_OUT,496128.26,496128.26,0.0,465770.07,961898.33,1,0
4922501,350,TRANSFER,2728625.68,2728625.68,0.0,0.0,0.0,1,0
3760286,279,TRANSFER,10000000.0,10536624.41,536624.41,0.0,0.0,1,0
6281780,650,CASH_OUT,692654.27,692654.27,0.0,0.0,692654.27,1,0
1030601,76,TRANSFER,9917.27,9917.27,0.0,0.0,0.0,1,0
6117688,530,TRANSFER,398711.68,398711.68,0.0,0.0,0.0,1,0
3626200,274,CASH_OUT,131594.12,131594.12,0.0,0.0,131594.12,1,0
2074483,182,CASH_OUT,1486052.97,1486052.97,0.0,775543.29,2261596.26,1,0
6194205,572,CASH_OUT,340665.18,340665.18,0.0,422032.78,762697.96,1,0
3701934,277,TRANSFER,2392482.86,2392482.86,0.0,0.0,0.0,1,0
6202286,582,TRANSFER,6106149.52,6106149.52,0.0,0.0,0.0,1,0
6168729,561,TRANSFER,2329379.8,2329379.8,0.0,0.0,0.0,1,0
6065322,513,TRANSFER,1530378.45,1530378.45,0.0,0.0,0.0,1,0
3392091,255,CASH_OUT,38223.11,38223.11,0.0,115485.32,153708.43,1,0
6273184,635,TRANSFER,580010.03,580010.03,0.0,0.0,0.0,1,0
6202385,582,CASH_OUT,1270565.77,1270565.77,0.0,216005.04,1486570.81,1,0
5242913,371,TRANSFER,11630.38,11630.38,0.0,0.0,0.0,1,0
4275172,307,CASH_OUT,1749325.14,1749325.14,0.0,1327198.86,3076524.0,1,0
5220939,370,TRANSFER,1634184.04,1634184.04,0.0,0.0,0.0,1,0
5981895,408,TRANSFER,398724.6,398724.6,0.0,0.0,0.0,1,0
2799881,217,CASH_OUT,972713.05,972713.05,0.0,0.0,972713.05,1,0
5996385,424,TRANSFER,2772748.37,2772748.37,0.0,0.0,0.0,1,0
4645693,330,CASH_OUT,9198459.96,9198459.96,0.0,258747.84,15173859.31,1,0
6194203,572,CASH_OUT,262960.23,262960.23,0.0,0.0,262960.23,1,0
2564998,206,TRANSFER,990630.25,990630.25,0.0,0.0,0.0,1,0
6259932,604,TRANSFER,714218.48,714218.48,0.0,0.0,0.0,1,0
6273202,636,TRANSFER,654250.76,654250.76,0.0,0.0,0.0,1,0
4516024,325,CASH_OUT,441873.49,441873.49,0.0,0.0,441873.49,1,0
2833679,226,TRANSFER,195708.55,195708.55,0.0,0.0,0.0,1,0
1059595,106,CASH_OUT,219489.62,219489.62,0.0,0.0,219489.62,1,0
6353847,707,TRANSFER,4676.42,4676.42,0.0,0.0,0.0,1,0
6293078,667,CASH_OUT,429257.45,429257.45,0.0,0.0,429257.45,1,0
3031112,233,TRANSFER,592443.66,592443.66,0.0,0.0,0.0,1,0
6308239,685,TRANSFER,537539.97,537539.97,0.0,0.0,0.0,1,0
6168705,560,TRANSFER,91655.26,91655.26,0.0,0.0,0.0,1,0
6037806,478,CASH_OUT,2254718.25,2254718.25,0.0,123702.38,2378420.62,1,0
3626199,274,TRANSFER,131594.12,131594.12,0.0,0.0,0.0,1,0
2801141,224,TRANSFER,8752000.36,8752000.36,0.0,0.0,0.0,1,0
1059660,115,TRANSFER,120232.13,120232.13,0.0,0.0,0.0,1,0
6281456,645,TRANSFER,214760.72,214760.72,0.0,0.0,0.0,1,0
3339185,253,TRANSFER,168622.3,168622.3,0.0,0.0,0.0,1,0
4782249,336,CASH_OUT,170038.31,170038.31,0.0,88268.89,258307.2,1,0
58308,9,CASH_OUT,21922.0,21922.0,0.0,1929861.61,2046918.8,1,0
2801111,221,TRANSFER,167060.63,167060.63,0.0,0.0,0.0,1,0
1030451,65,TRANSFER,126690.14,126690.14,0.0,0.0,0.0,1,0
6362581,741,CASH_OUT,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0
6286327,660,CASH_OUT,227994.78,227994.78,0.0,0.0,227994.78,1,0
6020196,460,TRANSFER,998086.61,998086.61,0.0,0.0,0.0,1,0
3181433,239,CASH_OUT,71867.47,71867.47,0.0,71658.84,143526.32,1,0
1030615,78,TRANSFER,1321091.25,1321091.25,0.0,0.0,0.0,1,0
646014,35,TRANSFER,171788.82,171788.82,0.0,0.0,0.0,1,0
6266410,617,CASH_OUT,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0
4782637,336,TRANSFER,38115.0,38115.0,0.0,0.0,0.0,1,0
1059493,98,CASH_OUT,1155819.58,1155819.58,0.0,0.0,1155819.58,1,0
6011025,448,CASH_OUT,14133.69,14133.69,0.0,2634011.66,2648145.35,1,0
1069224,121,CASH_OUT,43357.65,43357.65,0.0,661905.95,705263.6,1,0
1059522,101,TRANSFER,127905.82,127905.82,0.0,0.0,0.0,1,0
6305733,684,TRANSFER,459.38,459.38,0.0,0.0,0.0,1,0
6027554,471,CASH_OUT,504344.93,504344.93,0.0,73094.14,577439.07,1,0
6040731,488,CASH_OUT,27696.89,27696.89,0.0,352139.13,379836.02,1,0
5922716,404,TRANSFER,536433.5,536433.5,0.0,0.0,0.0,1,0
5975516,407,CASH_OUT,312955.14,312955.14,0.0,18559.06,331514.2,1,0
6359827,715,CASH_OUT,1390048.67,1390048.67,0.0,167999.27,1558047.94,1,0
1511354,150,TRANSFER,1335959.76,1335959.76,0.0,0.0,0.0,1,0
34168,8,TRANSFER,43092.0,43092.0,0.0,0.0,0.0,1,0
3610986,270,CASH_OUT,757422.83,757422.83,0.0,1557751.33,2315174.16,1,0
6074064,515,CASH_OUT,12804.74,12804.74,0.0,116946.42,129751.15,1,0
5186928,361,TRANSFER,1276300.86,1276300.86,0.0,0.0,0.0,1,0
1030379,60,TRANSFER,89014.32,89014.32,0.0,0.0,0.0,1,0
584084,33,CASH_OUT,214975.9,214975.9,0.0,152331.28,374513.69,1,0
6292082,664,TRANSFER,5652739.69,5652739.69,0.0,0.0,0.0,1,0
6020339,463,CASH_OUT,219300.76,219300.76,0.0,19058370.95,19277671.71,1,0
1059627,109,CASH_OUT,94613.12,94613.12,0.0,0.0,94613.12,1,0
6201836,579,CASH_OUT,1540624.7,1540624.7,0.0,78012.35,1618637.05,1,0
6281825,654,TRANSFER,668595.91,668595.91,0.0,0.0,0.0,1,0
1293870,136,TRANSFER,3263443.15,3263443.15,0.0,0.0,0.0,1,0
1030697,85,TRANSFER,167679.27,167679.27,0.0,0.0,0.0,1,0
3193213,247,TRANSFER,2025628.87,2025628.87,0.0,0.0,0.0,1,0
1932200,173,CASH_OUT,2232667.51,2232667.51,0.0,205027.36,2437694.87,1,0
1030463,66,TRANSFER,272791.44,272791.44,0.0,0.0,0.0,1,0
1519575,153,TRANSFER,115535.52,115535.52,0.0,0.0,0.0,1,0
2799555,217,CASH_OUT,92057.19,92057.19,0.0,173314.92,265372.1,1,0
6361198,717,CASH_OUT,116798.38,116798.38,0.0,896815.57,1013613.95,1,0
2064418,181,CASH_OUT,252189.32,252189.32,0.0,310145.69,562335.01,1,0
5988237,414,TRANSFER,298384.21,298384.21,0.0,0.0,0.0,1,0
6362441,729,CASH_OUT,90026.9,90026.9,0.0,339171.02,429197.92,1,0
5987589,409,CASH_OUT,1018800.91,1018800.91,0.0,389321.6,1408122.51,1,0
6249104,596,CASH_OUT,381247.3,381247.3,0.0,392496.79,773744.09,1,0
6281783,650,TRANSFER,1264551.38,1264551.38,0.0,0.0,0.0,1,0
1938532,177,CASH_OUT,63210.91,63210.91,0.0,6697.1,69908.01,1,0
1932026,170,CASH_OUT,2612915.2,2612915.2,0.0,7374588.54,9987503.74,1,0
1030691,84,TRANSFER,351912.04,351912.04,0.0,0.0,0.0,1,0
1509671,145,TRANSFER,1767886.02,1767886.02,0.0,0.0,0.0,1,0
1510121,145,TRANSFER,34301.19,34301.19,0.0,0.0,0.0,1,0
1059537,102,CASH_OUT,872199.82,872199.82,0.0,5447159.73,6319359.54,1,0
6281576,649,CASH_OUT,177429.18,177429.18,0.0,26853.77,204282.95,1,0
576350,31,TRANSFER,335219.49,335219.49,0.0,0.0,0.0,1,0
1030516,69,CASH_OUT,2960254.17,2960254.17,0.0,620822.89,3581077.07,1,0
1030642,80,CASH_OUT,972920.87,972920.87,0.0,21030.1,993950.97,1,0
6201755,578,TRANSFER,195562.98,195562.98,0.0,0.0,0.0,1,0
6272957,626,CASH_OUT,55740.39,55740.39,0.0,1659141.34,1714881.73,1,0
5987912,410,TRANSFER,1232013.7,1232013.7,0.0,0.0,0.0,1,0
6259931,603,CASH_OUT,158879.1,158879.1,0.0,751402.72,910281.82,1,0
3193212,247,CASH_OUT,802421.39,802421.39,0.0,11846261.68,12648683.06,1,0
5160995,357,TRANSFER,282332.91,282332.91,0.0,0.0,0.0,1,0
4784096,336,TRANSFER,9207.38,9207.38,0.0,0.0,0.0,1,0
6055689,499,TRANSFER,558136.45,558136.45,0.0,0.0,0.0,1,0
6100653,523,CASH_OUT,7603589.38,7603589.38,0.0,299845.14,7903434.51,1,0
2766145,213,CASH_OUT,1835523.44,1835523.44,0.0,50844.44,1886367.88,1,0
1030541,71,TRANSFER,14385.54,14385.54,0.0,0.0,0.0,1,0
1431440,139,CASH_OUT,375141.86,375141.86,0.0,124753.19,252008.88,1,0
6362551,738,CASH_OUT,108240.74,108240.74,0.0,28839.11,137079.85,1,0
4784796,337,CASH_OUT,505580.22,505580.22,0.0,18262.25,523842.47,1,0
6039446,481,CASH_OUT,305183.84,305183.84,0.0,470854.17,776038.0,1,0
